#metric_id,frequency_type,subject,measure,gdf_id,graph_id,discovery_ts
030001008700000004000000230000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7897,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690357
030001008700000004000000230000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7897,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690357
030001008700000004000000230000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7897,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690357
030001008700000004000000240000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7898,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690357
030001008700000004000000240000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7898,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690357
030001008700000004000000240000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7898,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690357
030001008700000004000000250000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7899,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690357
030001008700000004000000250000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7899,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690357
030001008700000004000000250000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7899,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690357
030001008700000004000000260000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7900,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690357
030001008700000004000000260000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7900,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690357
030001008700000004000000260000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7900,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690357
030001008700000004000000270000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7901,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690357
030001008700000004000000270000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7901,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690357
030001008700000004000000270000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7901,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690357
030001008700000004000000280000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7902,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690357
030001008700000004000000280000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7902,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690357
030001008700000004000000280000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7902,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690357
030001008700000004000000290000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7903,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690357
030001008700000004000000290000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7903,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690357
